Day,Underlying,Interest,Strike,Call,Volume
1,100,0.01,80,16.563,50
1,100,0.01,85,18.229,20
1,100,0.01,90,18.864,50
1,100,0.01,95,18.667,20
1,100,0.01,100,21.429,50
1,100,0.01,105,21.324,20
1,100,0.01,110,23.08,50
1,100,0.01,115,24.016,20
1,100,0.01,120,20.594,50
2,104,0.03,80,11.554,50
2,104,0.03,85,11.327,20
2,104,0.03,90,11.819,50
2,104,0.03,95,12.253,20
2,104,0.03,100,12.387,50
2,104,0.03,105,13.035,20
2,104,0.03,110,12.527,50
2,104,0.03,115,14.178,20
2,104,0.03,120,12.682,50
3,92,0.01,80,14.65,50
3,92,0.01,85,17.443,20
3,92,0.01,90,17.328,50
3,92,0.01,95,20.457,20
3,92,0.01,100,20.027,50
3,92,0.01,105,21.245,20
3,92,0.01,110,23.443,50
3,92,0.01,115,25.46,20
3,92,0.01,120,26.332,50
4,107,0.02,80,9.915,50
4,107,0.02,85,9.281,20
4,107,0.02,90,11.456,50
4,107,0.02,95,10.668,20
4,107,0.02,100,12.157,50
4,107,0.02,105,11.455,20
4,107,0.02,110,13.376,50
4,107,0.02,115,14.456,20
4,107,0.02,120,15.549,50
5,101,0.02,80,7.9,50
5,101,0.02,85,8.952,20
5,101,0.02,90,8.989,50
5,101,0.02,95,10.284,20
5,101,0.02,100,10.537,50
5,101,0.02,105,13.14,20
5,101,0.02,110,14.562,50
5,101,0.02,115,14.77,20
5,101,0.02,120,18.764,50
