Day,Underlying,Interest,Strike,Put,Volume
1,100,0.01,80,39.227,50
1,100,0.01,85,41.493,20
1,100,0.01,90,35.513,50
1,100,0.01,95,31.959,20
1,100,0.01,100,24.157,50
1,100,0.01,105,22.101,20
1,100,0.01,110,18.895,50
1,100,0.01,115,13.222,20
1,100,0.01,120,10.358,50
2,104,0.03,80,51.672,50
2,104,0.03,85,41.193,20
2,104,0.03,90,42.739,50
2,104,0.03,95,37.248,20
2,104,0.03,100,28.839,50
2,104,0.03,105,24.836,20
2,104,0.03,110,20.726,50
2,104,0.03,115,17.709,20
2,104,0.03,120,14.91,50
3,92,0.01,80,32.284,50
3,92,0.01,85,25.011,20
3,92,0.01,90,23.315,50
3,92,0.01,95,21.925,20
3,92,0.01,100,15.111,50
3,92,0.01,105,14.048,20
3,92,0.01,110,8.867,50
3,92,0.01,115,6.068,20
3,92,0.01,120,3.846,50
4,107,0.02,80,43.238,50
4,107,0.02,85,36.395,20
4,107,0.02,90,32.361,50
4,107,0.02,95,26.549,20
4,107,0.02,100,25.577,50
4,107,0.02,105,21.487,20
4,107,0.02,110,14.851,50
4,107,0.02,115,12.215,20
4,107,0.02,120,8.225,50
5,101,0.02,80,29.989,50
5,101,0.02,85,28.059,20
5,101,0.02,90,22.147,50
5,101,0.02,95,22.001,20
5,101,0.02,100,16.852,50
5,101,0.02,105,12.673,20
5,101,0.02,110,9.707,50
5,101,0.02,115,6.722,20
5,101,0.02,120,3.986,50
